city_id,hexagon_n,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,tree_pct,pop_ft_pct,tr_pct_bin,geometry
3381.0,48,Sofia,Bulgaria,BGR,0.169718027626608,0.1093221462791925,"[0.16, 0.18)","POLYGON ((23.35699921680864 42.69868999640294, 23.35699921680864 42.70768713338305, 23.369164215091175 42.70768713338305, 23.369164215091175 42.69868999640294, 23.35699921680864 42.69868999640294))"
3420.0,81,Athens,Greece,GRC,0.019539690337304,0.2924127827035639,"[0.0, 0.02)","POLYGON ((23.708289648062276 37.95351307114025, 23.708289648062276 37.96251020810098, 23.7196278992664 37.96251020810098, 23.7196278992664 37.95351307114025, 23.708289648062276 37.95351307114025))"
3444.0,291,Bucharest,Romania,ROU,0.06374678601175,0.1308626441831405,"[0.06, 0.08)","POLYGON ((26.092398904658907 44.427317320584265, 26.092398904658907 44.43631445757217, 26.104918124322875 44.43631445757217, 26.104918124322875 44.427317320584265, 26.092398904658907 44.427317320584265))"
3517.0,57,Kyiv,Ukraine,UKR,0.112966416900498,0.1176507887542049,"[0.1, 0.12)","POLYGON ((30.51434840160705 50.439749616923855, 30.51434840160705 50.44874675394303, 30.528386355864065 50.44874675394303, 30.528386355864065 50.439749616923855, 30.51434840160705 50.439749616923855))"
3673.0,680,Johannesburg,South Africa,ZAF,0.003050605981686,0.5477667881996691,"[0.0, 0.02)","POLYGON ((28.08785551907132 -26.108642730515662, 28.08785551907132 -26.09964559372736, 28.097810788144574 -26.09964559372736, 28.097810788144574 -26.108642730515662, 28.08785551907132 -26.108642730515662))"
3675.0,2378,Moscow,Russia,RUS,0.342059222732017,0.0542388767541227,"[0.34, 0.36)","POLYGON ((37.72406054910336 55.6077843117322, 37.72406054910336 55.61678144878536, 37.739889031841585 55.61678144878536, 37.739889031841585 55.6077843117322, 37.72406054910336 55.6077843117322))"
3798.0,288,Lusaka,Zambia,ZMB,0.002922899021875,0.4437189124069606,"[0.0, 0.02)","POLYGON ((28.233887883147304 -15.374151234444334, 28.233887883147304 -15.36515409762683, 28.24315925237212 -15.36515409762683, 28.24315925237212 -15.374151234444334, 28.233887883147304 -15.374151234444334))"
3809.0,370,Ankara,Turkey,TUR,0.03048391262291,0.2640168670603116,"[0.02, 0.04)","POLYGON ((32.910477992236395 39.91460539724155, 32.910477992236395 39.92360253420995, 32.922134243797196 39.92360253420995, 32.922134243797196 39.91460539724155, 32.910477992236395 39.91460539724155))"
3868.0,89,Durban,South Africa,ZAF,0.112200389151086,0.1101103013841021,"[0.1, 0.12)","POLYGON ((30.880845862226654 -29.950756031450087, 30.880845862226654 -29.94175889467348, 30.891163060067107 -29.94175889467348, 30.891163060067107 -29.950756031450087, 30.880845862226654 -29.950756031450087))"
3902.0,894,Cairo,Egypt,EGY,0.000180803793803,0.8322759678745563,"[0.0, 0.02)","POLYGON ((31.307279294437823 30.12238313883275, 31.307279294437823 30.131380275766343, 31.3176153024249 30.131380275766343, 31.3176153024249 30.12238313883275, 31.307279294437823 30.12238313883275))"
4094.0,9,Nicosia,Cyprus,CYP,0.023671291210214,0.3232304192676265,"[0.02, 0.04)","POLYGON ((33.35392833372925 35.155897934293066, 33.35392833372925 35.164895071243514, 33.364863264683336 35.164895071243514, 33.364863264683336 35.155897934293066, 33.35392833372925 35.155897934293066))"
4172.0,26,Kigali,Rwanda,RWA,0.044219470493598,0.1410688583674988,"[0.04, 0.06)","POLYGON ((30.05122676413886 -1.9644509869719604, 30.05122676413886 -1.9554538501217835, 30.060171782126986 -1.9554538501217835, 30.060171782126986 -1.9644509869719604, 30.05122676413886 -1.9644509869719604))"
4220.0,173,Maputo,Mozambique,MOZ,0.012499902046255,0.3238710330728605,"[0.0, 0.02)","POLYGON ((32.56037054555112 -25.942078672299836, 32.56037054555112 -25.933081535511047, 32.570311696139264 -25.933081535511047, 32.570311696139264 -25.942078672299836, 32.56037054555112 -25.942078672299836))"
4322.0,66,Juba,South Sudan,SSD,0.026363495421404,0.3605882308483788,"[0.02, 0.04)","POLYGON ((31.589501487202256 4.857070129672008, 31.589501487202256 4.866067266538379, 31.598473549186714 4.866067266538379, 31.598473549186714 4.857070129672008, 31.589501487202256 4.857070129672008))"
4335.0,283,Khartoum,Sudan,SDN,0.0,0.963118306660067,"[0.0, 0.02)","POLYGON ((32.420431085953076 15.649058478697969, 32.420431085953076 15.658055615590833, 32.429715208778404 15.658055615590833, 32.429715208778404 15.649058478697969, 32.420431085953076 15.649058478697969))"
4337.0,230,Beirut,Lebanon,LBN,0.051404982564733,0.2449076642284814,"[0.04, 0.06)","POLYGON ((35.50685597072957 33.84457629759405, 35.50685597072957 33.85357343453992, 35.51762020355743 33.85357343453992, 35.51762020355743 33.84457629759405, 35.50685597072957 33.84457629759405))"
4407.0,149,Damascus,Syria,SYR,9.5567142413e-05,0.7622255998484265,"[0.0, 0.02)","POLYGON ((36.299921658435196 33.4596924365816, 36.299921658435196 33.46868957352615, 36.31063785379289 33.46868957352615, 36.31063785379289 33.4596924365816, 36.299921658435196 33.4596924365816))"
4408.0,132,Amman,Jordan,JOR,0.000687513448575,0.8880393315436971,"[0.0, 0.02)","POLYGON ((35.96321167965562 31.947387115064743, 35.96321167965562 31.956384252004234, 35.97374774853327 31.956384252004234, 35.97374774853327 31.947387115064743, 35.96321167965562 31.947387115064743))"
4427.0,441,Kampala,Uganda,UGA,0.144317791121513,0.1405875194049172,"[0.14, 0.16)","POLYGON ((32.51756096356101 0.3695891928772729, 32.51756096356101 0.3785863297329818, 32.52650093865639 0.3785863297329818, 32.52650093865639 0.3695891928772729, 32.51756096356101 0.3695891928772729))"
